bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovô;muleta;fita;pato
1;0.170;0.170;0.515;0.288;0.298;0.170;0.380;0.240;0.170;0.192;0.415;0.192;0.170;0.298
0.170;1;0.288;0.170;0.288;0.388;0.170;0.192;0.230;0.170;0.448;0.170;0.192;0.288;0.405
0.170;0.288;1;0.288;0.415;0.170;0.298;0.270;0.136;0.298;0.192;0.388;0.202;0.298;0.288
0.515;0.170;0.288;1;0.170;0.298;0.288;0.202;0.334;0.170;0.113;0.298;0.113;0.288;0.298
0.288;0.288;0.415;0.170;1;0.170;0.298;0.270;0.136;0.298;0.270;0.170;0.458;0.298;0.288
0.298;0.388;0.170;0.298;0.170;1;0.170;0.202;0.240;0.288;0.292;0.298;0.192;0.170;0.298
0.170;0.170;0.298;0.288;0.298;0.170;1;0.192;0.324;0.298;0.192;0.170;0.202;0.415;0.388
0.380;0.192;0.270;0.202;0.270;0.202;0.192;1;0.308;0.270;0.248;0.280;0.170;0.192;0.280
0.240;0.230;0.136;0.334;0.136;0.240;0.324;0.308;1;0.136;0.220;0.240;0.220;0.324;0.528
0.170;0.170;0.298;0.170;0.298;0.288;0.298;0.270;0.136;1;0.192;0.288;0.280;0.298;0.170
0.192;0.448;0.192;0.113;0.270;0.292;0.192;0.248;0.220;0.192;1;0.192;0.248;0.192;0.270
0.415;0.170;0.388;0.298;0.170;0.298;0.170;0.280;0.240;0.288;0.192;1;0.113;0.170;0.298
0.192;0.192;0.202;0.113;0.458;0.192;0.202;0.170;0.220;0.280;0.248;0.113;1;0.380;0.192
0.170;0.288;0.298;0.288;0.298;0.170;0.415;0.192;0.324;0.298;0.192;0.170;0.380;1;0.288
0.298;0.405;0.288;0.298;0.288;0.298;0.388;0.280;0.528;0.170;0.270;0.298;0.192;0.288;1
